col1,col2
We present a new method for detecting anddisambiguating named entities in open do main text.,{}
A disambiguation SVM kernel is trained to exploit the high coverage and rich structure of the knowledge encoded in an online encyclopedia.,{}
The resultingmodel significantly outperforms a less in formed baseline.,{}
1.1 Motivation.,"{'title': 'Introduction', 'number': '1'}"
The de-facto web search paradigm defines the re sult to a user?s query as roughly a set of links to the best-matching documents selected out of billions of items available.,"{'title': 'Introduction', 'number': '1'}"
"Whenever the queries search for pinpointed, factual information, the burden of filling the gap between the output granularity (whole documents) and the targeted information (a set of sentences or relevant phrases) stays with theusers, by browsing the returned documents in or der to find the actually relevant bits of information.","{'title': 'Introduction', 'number': '1'}"
"A frequent case are queries about named entities,which constitute a significant fraction of popu lar web queries according to search engine logs.","{'title': 'Introduction', 'number': '1'}"
"When submitting queries such as John Williamsor Python, search engine users could also be presented with a compilation of facts and specific at tributes about those named entities, rather than aset of best-matching web pages.","{'title': 'Introduction', 'number': '1'}"
"One of the chal lenges in creating such an alternative search result page is the inherent ambiguity of the queries, as several instances of the same class (e.g., different people) or different classes (e.g., a type of snake, a programming language, or a movie) may share the same name in the query.","{'title': 'Introduction', 'number': '1'}"
"As an example, the Work done during a summer internship at Google.contexts below are part of web documents refer ring to different people who share the same name John Williams:1.","{'title': 'Introduction', 'number': '1'}"
?John Williams and the Boston Pops conducted a summer Star Wars concert at Tan glewood.?,"{'title': 'Introduction', 'number': '1'}"
2.,"{'title': 'Introduction', 'number': '1'}"
"?John Williams lost a Taipei death match against his brother, Axl Rotten.?","{'title': 'Introduction', 'number': '1'}"
3.,"{'title': 'Introduction', 'number': '1'}"
?John Williams won a Victoria Cross for his actions at the battle of Rorke?s Drift.?,"{'title': 'Introduction', 'number': '1'}"
"The effectiveness of the search could be greatly improved if the search results were grouped together according to the corresponding sense, rather than presented as a flat, sense-mixed list of items (whether links to full-length documents, or extracted facts).","{'title': 'Introduction', 'number': '1'}"
"As an added benefit, userswould have easier access to a wider variety of re sults, whenever the top 10 or so results returned by the largest search engines happen to refer to only one particular (arguably the most popular) sense of the query (e.g., the programming language in the case of Python), thus submerging or ?hiding?","{'title': 'Introduction', 'number': '1'}"
"documents that refer to other senses of the query.In various natural language applications, significant performance gains are achieved as a function of data size rather than algorithm complex ity, as illustrated by the increasingly popular use of the web as a (very large) corpus (Dale, 2003).","{'title': 'Introduction', 'number': '1'}"
"It seems therefore natural to try to exploit the webin order to also improve the performance of relation extraction, i.e. the discovery of useful re lationships between named entities mentioned in text documents.","{'title': 'Introduction', 'number': '1'}"
"However, if one wants to combine evidence from multiple web pages, then one needs again to solve the name disambiguation problem.","{'title': 'Introduction', 'number': '1'}"
"9Without solving it, a relation extraction system an alyzing the sentences in the above example could mistakenly consider the third as evidence that John Williams the composer fought at Rorke?s Drift.","{'title': 'Introduction', 'number': '1'}"
1.2 Approach.,"{'title': 'Introduction', 'number': '1'}"
The main goal of the research reported in this pa per is to develop a named entity disambiguation method that is intrinsically linked to a dictionarymapping proper names to their possible named en titiy denotations.,"{'title': 'Introduction', 'number': '1'}"
"More exactly, the method: 1.","{'title': 'Introduction', 'number': '1'}"
Detects whether a proper name refers to a. named entity included in the dictionary (de tection).,"{'title': 'Introduction', 'number': '1'}"
ties that can be denoted by the same proper name (disambiguation).,"{'title': 'Disambiguates between multiple named enti-. ', 'number': '2'}"
"As a departure from the methodology of previous approaches, the paper exploits a non-traditionalweb-based resource.","{'title': 'Disambiguates between multiple named enti-. ', 'number': '2'}"
"Concretely, it takes advan tage of some of the human knowledge available in Wikipedia, a free online encyclopedia createdthrough decentralized, collective efforts of thou sands of users (Remy, 2002).","{'title': 'Disambiguates between multiple named enti-. ', 'number': '2'}"
We show that the structure of Wikipedia lends itself to a set ofuseful features for the detection and disambiguation of named entities.,"{'title': 'Disambiguates between multiple named enti-. ', 'number': '2'}"
The remainder of the pa per is organized as follows.,"{'title': 'Disambiguates between multiple named enti-. ', 'number': '2'}"
